,年,週,年齡別,縣市,腸病毒急診就診人次
557,2007,11,1-3,高雄市,1
558,2007,12,0,彰化縣,1
559,2007,15,1-3,新北市,3
560,2007,16,0,高雄市,2
561,2007,20,1-3,嘉義市,4
562,2007,21,4-6,彰化縣,6
563,2007,21,0,屏東縣,2
564,2007,22,1-3,基隆市,8
565,2007,22,4-6,台北市,17
566,2007,22,0,雲林縣,5
567,2007,23,1-3,新竹縣,1
568,2007,24,0,屏東縣,2
569,2007,24,16+,花蓮縣,1
570,2007,24,7-15,宜蘭縣,1
571,2007,25,1-3,台中市,62
572,2007,25,1-3,苗栗縣,7
573,2007,2,4-6,嘉義縣,1
574,2007,2,0,桃園市,1
575,2007,6,1-3,高雄市,2
576,2007,6,4-6,新竹縣,1
577,2007,7,0,雲林縣,1
578,2007,8,0,基隆市,1
579,2007,9,1-3,高雄市,3
580,2007,10,1-3,台北市,4
581,2007,12,4-6,南投縣,1
582,2007,14,0,高雄市,1
583,2007,15,1-3,雲林縣,1
584,2007,15,0,高雄市,2
585,2007,16,1-3,台南市,5
586,2007,16,4-6,宜蘭縣,1
587,2007,17,1-3,屏東縣,4
588,2007,18,1-3,嘉義縣,3
589,2007,20,0,台中市,1
590,2007,20,1-3,雲林縣,9
591,2007,20,7-15,高雄市,1
592,2007,23,1-3,澎湖縣,2
593,2007,23,0,高雄市,7
594,2007,24,4-6,新竹市,8
595,2007,24,7-15,桃園市,1
596,2007,27,0,台北市,17
597,2007,27,0,桃園市,5
598,2007,27,7-15,新北市,3
599,2007,28,7-15,台南市,4
600,2007,29,7-15,新北市,2
601,2007,30,1-3,台北市,84
602,2007,32,1-3,高雄市,31
603,2007,32,1-3,彰化縣,23
604,2007,33,1-3,花蓮縣,4
605,2007,33,4-6,宜蘭縣,3
606,2007,33,0,南投縣,2
607,2007,33,7-15,高雄市,3
608,2007,34,16+,台中市,1
609,2007,34,16+,苗栗縣,21
610,2007,34,1-3,桃園市,40
611,2007,34,0,台中市,5
612,2007,35,16+,苗栗縣,3
613,2007,35,4-6,南投縣,3
614,2007,35,4-6,新北市,3
615,2007,35,0,花蓮縣,1
616,2007,36,0,台北市,3
617,2007,36,1-3,澎湖縣,3
618,2007,25,1-3,屏東縣,22
619,2007,26,4-6,新竹市,10
620,2007,27,1-3,宜蘭縣,7
621,2007,28,1-3,台東縣,4
622,2007,28,4-6,台北市,22
623,2007,28,0,桃園市,7
624,2007,28,0,雲林縣,1
625,2007,30,4-6,花蓮縣,5
626,2007,31,0,嘉義縣,1
627,2007,31,7-15,台北市,4
628,2007,32,0,台中市,2
629,2007,32,1-3,桃園市,33
630,2007,33,1-3,新北市,39
631,2007,35,1-3,嘉義市,11
632,2007,36,1-3,苗栗縣,3
633,2007,37,4-6,台東縣,1
634,2007,38,1-3,澎湖縣,3
635,2007,39,4-6,彰化縣,6
636,2007,40,0,彰化縣,2
637,2007,40,7-15,苗栗縣,1
638,2007,41,7-15,嘉義縣,1
639,2007,42,1-3,嘉義市,6
640,2007,29,7-15,高雄市,4
641,2007,30,1-3,新竹市,25
642,2007,31,4-6,新竹市,4
643,2007,31,7-15,澎湖縣,1
644,2007,32,16+,宜蘭縣,1
645,2007,32,0,宜蘭縣,2
646,2007,32,0,苗栗縣,1
647,2007,33,0,桃園市,11
648,2007,34,1-3,基隆市,7
649,2007,34,1-3,彰化縣,21
650,2007,34,4-6,桃園市,8
651,2007,35,1-3,基隆市,6
652,2007,35,4-6,桃園市,5
653,2007,36,0,南投縣,1
654,2007,36,0,台南市,1
655,2007,37,16+,嘉義市,1
656,2007,37,0,高雄市,8
657,2007,39,0,屏東縣,1
658,2007,39,7-15,台中市,2
