日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012/01/08,松山,O3,29,30,31,33,35,34,27,5.3,4.3,3.7,3.5,9.7,25,31,32,24,17,20,17,17,17,18,21,26
2012/01/08,松山,PM10,29,40,44,31,19,11,14,30,39,40,53,38,11,10,15,10,18,17,13,19,19,16,16,28
2012/01/08,松山,PM2.5,21,17,15,15,14,13,14,12,17,20,29,27,25,12,6,10,9,19,14,19,12,14,15,13
2012/01/08,松山,RAINFALL,0.4,0.4,NR,NR,0.2,0.2,NR,0.6,0.6,1,0.2,NR,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2012/01/08,松山,RH,90,90,90,90,90,90,91,91,92,92,92,92,89,83,81,82,85,84,85,86,86,87,87,88
2012/01/08,松山,SO2,3.1,3.4,3.5,2.6,2,1.8,1.9,2.1,2.2,3.2,4.3,2.5,1.9,1.6,1.3,1.6,1.7,1.6,2.2,2,1.4,1.5,1.6,1.7
2012/01/08,松山,THC,2,2,2,2,2,2,2.1,2.6,2.6,2.6,2.8,2.5,2.1,2,1.9,2,2.1,2.1,2.1,2.1,2.1,2,2,2
2012/01/08,松山,WD_HR,98,95,84,96,88,92,103,250,268,234,228,102,74,70,64,70,77,68,77,80,81,79,82,82
2012/01/08,松山,WIND_DIREC,99,95,81,98,91,89,168,230,275,233,230,79,68,70,50,78,66,77,79,74,77,81,80,82
2012/01/08,松山,WIND_SPEED,1.7,1.7,1.4,1,1.2,1.2,0.5,1.1,1.3,1.5,0.6,1.6,2.7,2.5,2.4,2.2,1.8,1.5,1.8,1.3,1.3,1.6,1.7,1.7
2012/01/08,松山,WS_HR,1.3,1.4,1.4,0.9,1,1.3,0.5,0.9,1,1.2,0.9,0.8,2.1,2.4,2.5,1.9,1.5,1.8,1.5,1.2,1.2,1.4,1.7,1.5
2012/01/09,松山,AMB_TEMP,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16
2012/01/09,松山,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9
2012/01/09,松山,CO,0.29,0.26,0.21,0.21,0.22,0.25,0.33,0.58,0.62,0.6,0.54,0.46,0.46,0.4,0.47,0.47,0.43,0.56,0.69,0.69,0.59,0.51,0.54,0.44
2012/01/09,松山,NMHC,0.06,0.06,0.03,0.04,0.04,0.07,0.07,0.16,0.18,0.19,0.22,0.17,0.14,0.13,0.2,0.18,0.16,0.2,0.25,0.25,0.2,0.14,0.15,0.12
